Fighter,Winner,Winner_binary,L,Stance,Stance_Orth,Stance_South,Stance_Switch,Ht.,Reach,Wt.,W,Date of Fight,Birth Date,Age at Fight
Adrian Yanez,Red,1,0,Orthodox,1,0,0,170.18,177.8,135,1,2021-03-20,1993-11-29,27
Trevin Giles,Red,1,2,Orthodox,1,0,0,182.88,187.96,185,4,2021-03-20,1992-08-06,29
Tai Tuivasa,Red,1,3,Southpaw,0,1,0,187.96,190.5,264,4,2021-03-20,1993-03-16,28
Cheyanne Buys,Blue,0,0,Switch,0,0,1,160.02,160.02,115,0,2021-03-20,1995-06-25,26
Marion Reneau,Blue,0,6,Orthodox,1,0,0,167.64,172.72,135,5,2021-03-20,1977-06-20,44
Leonardo Santos,Blue,0,1,Orthodox,1,0,0,182.88,190.5,155,7,2021-03-20,1980-02-05,41
Song Kenan,Blue,0,1,Orthodox,1,0,0,182.88,180.34,170,4,2021-03-20,1990-03-10,31
Derek Brunson,Red,1,5,Southpaw,0,1,0,185.42,195.58,185,12,2021-03-20,1984-01-04,37
Montel Jackson,Red,1,2,Southpaw,0,1,0,177.8,190.5,135,3,2021-03-20,1992-04-24,29
Bruno Silva,Red,1,3,,0,0,0,182.88,,185,0,2021-03-20,1989-07-13,32
Manel Kape,Blue,0,1,Southpaw,0,1,0,165.1,172.72,125,0,2021-03-13,1993-11-14,27
Misha Cirkunov,Blue,0,3,Orthodox,1,0,0,190.5,195.58,205,6,2021-03-13,1987-02-27,34
Leon Edwards,Draw,0,2,Southpaw,0,1,0,187.96,187.96,170,10,2021-03-13,1991-08-25,30
Charles Jourdain,Red,1,3,Switch,0,0,1,175.26,175.26,145,1,2021-03-13,1995-11-27,25
Eryk Anders,Draw,0,5,Southpaw,0,1,0,185.42,190.5,185,5,2021-03-13,1987-04-21,34
Angela Hill,Red,1,9,Orthodox,1,0,0,160.02,162.56,115,7,2021-03-13,1985-01-12,36
Jonathan Martinez,Blue,0,2,Southpaw,0,1,0,172.72,177.8,135,4,2021-03-13,1994-04-20,27
Dan Ige,Red,1,2,Orthodox,1,0,0,170.18,180.34,145,6,2021-03-13,1991-08-06,30
Nasrat Haqparast,Red,1,2,Southpaw,0,1,0,177.8,182.88,155,4,2021-03-13,1995-08-22,26
Cortney Casey,Blue,0,7,Orthodox,1,0,0,170.18,170.18,125,5,2021-03-13,1987-05-05,34
Matthew Semelsberger,Red,1,0,Switch,0,0,1,185.42,190.5,170,1,2021-03-13,1992-11-23,28
Rani Yahya,Red,1,6,Orthodox,1,0,0,167.64,170.18,135,11,2021-03-13,1984-09-12,37
Gloria de Paula,Blue,0,0,Orthodox,1,0,0,165.1,170.18,115,0,2021-03-13,1995-06-10,26
Dominick Cruz,Red,1,2,Orthodox,1,0,0,172.72,172.72,135,5,2021-03-06,1985-03-09,36
Song Yadong,Blue,0,1,Orthodox,1,0,0,172.72,170.18,145,5,2021-03-06,1997-12-02,23
Petr Yan,Blue,0,0,Switch,0,0,1,170.18,170.18,135,7,2021-03-06,1993-02-11,28
Jan Blachowicz,Red,1,5,Orthodox,1,0,0,187.96,198.12,205,10,2021-03-06,1983-02-24,38
Thiago Santos,Blue,0,7,Orthodox,1,0,0,187.96,193.04,205,13,2021-03-06,1984-01-07,37
Joseph Benavidez,Blue,0,5,Southpaw,0,1,0,162.56,165.1,125,15,2021-03-06,1984-07-31,37
Amanda Nunes,Red,1,1,Orthodox,1,0,0,172.72,175.26,145,13,2021-03-06,1988-05-30,33
Islam Makhachev,Red,1,1,Southpaw,0,1,0,177.8,177.8,155,7,2021-03-06,1991-10-27,29
Tim Elliott,Red,1,9,Southpaw,0,1,0,170.18,167.64,125,5,2021-03-06,1986-12-24,34
Livinha Souza,Blue,0,1,Orthodox,1,0,0,160.02,160.02,115,3,2021-03-06,1991-03-11,30
Rogerio Bontorin,Blue,0,1,Orthodox,1,0,0,165.1,170.18,125,2,2021-03-06,1992-04-25,29
Uros Medic,Red,1,0,Southpaw,0,1,0,185.42,180.34,155,0,2021-03-06,1993-04-25,28
Kennedy Nzechukwu,Red,1,1,Southpaw,0,1,0,195.58,210.82,205,1,2021-03-06,1992-06-13,29
Sean Brady,Red,1,0,Orthodox,1,0,0,177.8,182.88,170,3,2021-03-06,1992-11-23,28
Mario Bautista,Blue,0,1,Switch,0,0,1,175.26,175.26,135,2,2021-03-06,1993-07-01,28
Jairzinho Rozenstruik,Blue,0,1,Orthodox,1,0,0,193.04,198.12,242,5,2021-02-27,1988-03-17,33
Montana De La Rosa,Draw,0,2,Orthodox,1,0,0,170.18,172.72,125,4,2021-02-27,1995-02-14,26
Vince Cachero,Blue,0,1,Orthodox,1,0,0,167.64,172.72,145,0,2021-02-27,1989-11-07,31
Alexander Hernandez,Blue,0,2,Orthodox,1,0,0,175.26,182.88,155,4,2021-02-27,1992-10-01,28
Pedro Munhoz,Red,1,6,Orthodox,1,0,0,167.64,165.1,135,8,2021-02-27,1986-09-07,34
Alex Caceres,Red,1,11,Southpaw,0,1,0,177.8,185.42,145,12,2021-02-27,1988-06-20,33
Alexis Davis,Red,1,5,Orthodox,1,0,0,167.64,172.72,135,6,2021-02-27,1984-10-04,36
